area,user_story_id,user_story,expected_behavior,surface,runner,evidence_required,last_result,last_run,artifact_or_pr,finding,next_action,priority,failure_class
"Viewport matrices","rp-story-viewport-aggregate-does-not-hide-child-failure","As a maintainer running viewport matrices, I can aggregate child runs without losing the failing viewport.","Aggregate returns the worst child verdict, lists child outputs, and separates summed poll time from max child latency.","run-profile aggregate","local-cli","child profile-result files; aggregate profile-result.json; summary.md","product_regression_expected","2026-06-21","docs/riddle-proof-story-matrix-runs/2026-06-21-ux-coverage-batch.md","Aggregate preserved the phone child product_regression via split_viewport_children.","Keep as a recurring negative-control aggregate using one passing child and one failing child.","P1","contract_gap"
"Formal contract","rp-story-formal-kernel-matches-runtime-contract","As a framework maintainer, I can prove the status/result contract that runtime tests depend on.","Lean kernel builds and runtime conformance tests mirror the formal contract cases.","formal/riddle-proof-kernel","lean-kernel","lake build; formal-conformance test log","passed","2026-06-21","PR #947 CI formal-kernel","Formal layer stayed in contract-hardening path, not runtime evidence collection.","Keep recurring when status semantics change.","P2","contract_gap"
"Hosted proof view","rp-ux-hosted-proof-view-contract-passed","As a hosted proof viewer, I see a passing packet rendered from the shared public-state contract.","Hosted proof view helper reports passed proof state only from passed/ready evidence and preserves handoff gating.","hosted proof view contract","formal-conformance","summarizeRiddleProofHostedProofViewSurface passed case; public-state claims; handoff claims","passed","2026-06-21","packages/riddle-proof/formal-conformance.test.js","Shared hosted-view helper uses the same public-state contract as PR comments.","Use this helper from any real hosted proof packet renderer.","P1","contract_gap"
"Hosted proof view","rp-ux-hosted-proof-view-contract-product-regression","As a hosted proof viewer, I see product_regression as failed evidence, not as a generic successful packet.","product_regression maps to proof_failed, keeps result_label product_regression, and prohibits proof_passed/ready_to_ship/merge claims.","hosted proof view contract","formal-conformance","product_regression packet; prohibited claims; suppressed merge recommendation","passed","2026-06-21","packages/riddle-proof/formal-conformance.test.js","Found and fixed the semantic gap where profile verdicts were not explicit public-state blockers.","Keep this as the negative-control renderer contract before UI smoke.","P1","contract_gap"
"Hosted proof view","rp-ux-hosted-proof-view-contract-proof-insufficient","As a hosted proof viewer, I see missing or incomplete evidence as proof_insufficient with an explicit disclosure.","proof_insufficient maps to proof_blocked, keeps result_label proof_insufficient, and requires proof_insufficient disclosure.","hosted proof view contract","formal-conformance","proof_insufficient packet; disclosure; prohibited proof_passed claim","passed","2026-06-21","packages/riddle-proof/formal-conformance.test.js","Incomplete evidence now stays blocked in public consumer surfaces.","Keep paired with product_regression in renderer smoke tests.","P1","proof_insufficient"
"Hosted proof view","rp-ux-hosted-proof-view-product-renderer-imports-contract","As a hosted proof viewer, the actual product renderer imports the shared contract instead of rendering raw proof fields.","Hosted proof packet UI uses @riddledc/riddle-proof/public-state or an equivalent shared wrapper for status, handoff, and disclosures.","hosted proof renderer","manual-review","renderer import; screenshot; passed and negative-control packets","needs_product_hook","","","Read-only site scan found proof/example pages, but no live hosted proof packet renderer importing public-state yet.","Wire any hosted proof packet renderer to summarizeRiddleProofHostedProofViewSurface and run passed plus negative-control UI smoke.","P1","contract_gap"
"Agent summary","rp-ux-agent-summary-contract-proof-insufficient","As an agent consuming Riddle Proof output, I see proof_insufficient as incomplete evidence, not as success.","Agent summary helper maps proof_insufficient to proof_blocked and prohibits proof_passed.","agent summary contract","formal-conformance","summarizeRiddleProofAgentSummarySurface proof_insufficient case; disclosure; prohibited claim","passed","2026-06-21","packages/riddle-proof/formal-conformance.test.js","Agent-facing proof_insufficient summaries now share the public-state blocker contract.","Keep as a fixture for agent-output golden summaries.","P1","proof_insufficient"
"Agent summary","rp-ux-agent-summary-contract-environment-blocked","As an agent consuming Riddle Proof output, I see environment_blocked as a blocker outside product correctness.","Agent summary helper maps environment_blocked to proof_blocked, suppresses merge recommendations, and requires environment disclosure.","agent summary contract","formal-conformance","environment_blocked packet; suppressed merge recommendation; disclosure","passed","2026-06-21","packages/riddle-proof/formal-conformance.test.js","Environment blockers stay visible and cannot become proof_passed in agent summaries.","Use in hosted cold-start/network-blocked summary tests.","P1","environment_blocked"
"Agent summary","rp-ux-agent-summary-contract-human-review","As an agent consuming Riddle Proof output, I see needs_human_review as a held proof state, not a pass.","Agent summary helper maps needs_human_review to proof_blocked and requires human-review disclosure.","agent summary contract","formal-conformance","needs_human_review packet; disclosure; prohibited proof_passed claim","passed","2026-06-21","packages/riddle-proof/formal-conformance.test.js","Human-review verdicts now stay blocked in public consumer surfaces.","Keep this for evidence packets with subjective or unsupported checks.","P2","contract_gap"
"Agent summary","rp-ux-agent-summary-product-wiring-uses-contract","As an agent consuming real Riddle Proof output, the emitted summary uses the shared contract rather than raw fields.","Agent-facing summaries import/use the public-state consumer helper for status, handoff, and prohibited claims.","agent-facing summary","manual-review","summary text; contract import or documented gap; negative-control packet","needs_product_hook","","","Package helper is now contract-tested; product wiring still needs an executable consumer check outside PR comments.","Find the actual agent summary renderer/emitter and wire or verify summarizeRiddleProofAgentSummarySurface usage.","P1","contract_gap"
"Neutral fixture","rp-ux-neutral-fixture-public-state-blockers","As a consumer of Riddle Proof summaries, I can validate status semantics on neutral packets rather than Riddle docs packets.","Neutral public-state fixtures cover passed handoff, product_regression, proof_insufficient, environment_blocked, and checkpoint audit claims.","neutral public-state fixtures","runtime-test","fixture JSON; hosted proof view helper; agent summary helper","passed","2026-06-22","packages/riddle-proof/story-matrix.test.js","Neutral packet fixtures keep public-state semantics separate from Riddle docs dogfood.","Keep this as the fast semantic canary before local, hosted, docs, and real-app sweeps.","P1","contract_gap"
"Neutral fixture","rp-ux-neutral-fixture-local-pass","As a maintainer, I can run a non-Riddle static fixture page locally and get a normal evidence packet.","Local Playwright pass profile returns passed with proof JSON, console, DOM summary, artifact manifest, and screenshots.","neutral fixture browser profile","local-playwright","profile-result.json; artifact-manifest.json; screenshot; proof.json","passed","2026-06-22","docs/riddle-proof-story-matrix-runs/2026-06-22-neutral-fixture-batch.md","Neutral static fixture produced a passed local evidence packet across phone and desktop.","Keep as the clean non-docs local canary before real-app sweeps.","P1","configuration_error"
"Neutral fixture","rp-ux-neutral-fixture-negative-control","As a maintainer, I can run a non-Riddle negative-control profile and get product_regression instead of a false pass.","Local Playwright negative-control profile fails only the deliberate missing selector and preserves review artifacts.","neutral fixture browser profile","local-playwright","profile-result.json; failed check; screenshot; proof.json","product_regression_expected","2026-06-22","docs/riddle-proof-story-matrix-runs/2026-06-22-neutral-fixture-batch.md","Neutral negative control stayed red on [data-rp-fixture=""missing-required-control""] while preserving artifacts.","Keep paired with the pass fixture before broader UX sweeps.","P1","contract_gap"
"Neutral fixture","rp-ux-neutral-fixture-hosted-pass","As a maintainer, I can run a non-Riddle static fixture preview on hosted Riddle and get a normal evidence packet.","Hosted pass profile returns passed with hosted job id, proof JSON, console, DOM summary, and screenshots.","neutral fixture hosted profile","hosted-riddle","profile-result.json; riddle.job_id; screenshot URLs; proof.json","passed","2026-06-22","docs/riddle-proof-story-matrix-runs/2026-06-22-neutral-fixture-batch.md","Hosted neutral pass produced job_2ab0f3f3 after fixture artifact requirements were calibrated.","Keep as the clean hosted canary before docs dogfood and real-app sweeps.","P1","environment_blocked"
"Neutral fixture","rp-ux-neutral-fixture-hosted-negative-control","As a maintainer, I can run a non-Riddle hosted negative-control profile and get product_regression instead of a false pass.","Hosted negative-control profile reaches the static preview and fails only the deliberate missing selector.","neutral fixture hosted profile","hosted-riddle","profile-result.json; failed check; screenshot URLs; proof.json","product_regression_expected","2026-06-22","docs/riddle-proof-story-matrix-runs/2026-06-22-neutral-fixture-batch.md","Hosted neutral negative control produced job_b308bc57 with product_regression and preserved artifact URLs.","Keep paired with the hosted pass fixture before broader hosted UX sweeps.","P1","contract_gap"
"Release and publish","rp-ux-release-publish-flow","As a package maintainer, I can merge a fix, get a version PR, and publish the package without manual status fakery.","Changeset release PR validates, merges, and trusted npm publish updates latest.","changesets release","github-actions","release PR; Release workflow; npm view latest","passed","2026-06-21","@riddledc/riddle-proof@0.8.68","Release path worked for the reporting fix and published with provenance.","Keep GitHub Action noise low and use this as release smoke.","P2","environment_blocked"
